
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-11 20:02:26 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:55 /api/super-admin/online-users ...................................................... ~ 500.25ms
  2026-03-11 20:03:02 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:03:04 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:03:04 /api/reseller/customers ............................................................ ~ 508.46ms
  2026-03-11 20:03:04 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:03:05 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:03:05 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:03:06 /api/reseller/customers ............................................................ ~ 520.13ms
  2026-03-11 20:03:06 /api/reseller/customers ............................................................ ~ 510.44ms
  2026-03-11 20:03:07 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:03:07 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:03:08 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:03:08 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:03:10 /api/reseller/online-users ......................................................... ~ 515.07ms
  2026-03-11 20:03:12 /api/online-widget/settings ........................................................ ~ 501.31ms
  2026-03-11 20:03:12 /api/reseller/licenses ................................................................... ~ 1s
  2026-03-11 20:03:13 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:03:14 /api/reseller/online-users ......................................................... ~ 503.93ms
  2026-03-11 20:03:17 /api/online-widget/settings ........................................................ ~ 501.25ms
  2026-03-11 20:03:17 /api/reseller/reports/revenue ............................................................ ~ 1s
  2026-03-11 20:03:17 /api/reseller/reports/activations ........................................................ ~ 1s
  2026-03-11 20:03:18 /api/reseller/reports/top-programs ....................................................... ~ 1s
  2026-03-11 20:03:18 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:03:19 /api/reseller/online-users ......................................................... ~ 511.08ms
  2026-03-11 20:03:22 /api/online-widget/settings ........................................................ ~ 501.96ms
  2026-03-11 20:03:23 /api/online-widget/settings ........................................................ ~ 512.36ms
